method,iteration,teacher_teacher,student_teacher_1,student_teacher_2,student_teacher_mean,student_ema,buffers_unchanged
AD-MT,3250,0.998296144604683,0.984201917052269,0.9826986557245254,0.9834502863883973,,True
AD-MT,3350,0.9983154422044754,0.9787835502624511,0.9783007907867431,0.9785421705245971,,True
AD-MT,3450,0.9975339263677597,0.978297290802002,0.9788950753211975,0.9785961830615997,,True
AD-MT,3550,0.9984057199954987,0.9861119800806045,0.986495812535286,0.9863038963079452,,True
AD-MT,3650,0.9989198476076127,0.9841846060752869,0.9834983456134796,0.9838414758443832,,True
AD-MT,3750,0.9988570660352707,0.9871622347831726,0.9877463603019714,0.987454297542572,,True
AD-MT,3850,0.9990209710597991,0.9791981399059295,0.9802630931138993,0.9797306165099144,,True
AD-MT,3950,0.9987717765569687,0.9794068402051925,0.9804071474075318,0.9799069938063621,,True
AD-MT,4050,0.9987754845619201,0.987075281739235,0.9870014697313308,0.9870383757352829,,True
AD-MT,4150,0.9985651814937592,0.9806383496522904,0.9815081799030304,0.9810732647776603,,True
AD-MT,4250,0.9984185695648193,0.9684586477279663,0.9711508291959763,0.9698047384619712,,True
AD-MT,4350,0.9985700374841691,0.9731910765171051,0.9729795277118682,0.9730853021144867,,True
AD-MT,4450,0.9982389599084854,0.9854571700096131,0.9862293684482575,0.9858432692289353,,True
AD-MT,4550,0.9989108169078826,0.9733902817964554,0.9710837703943253,0.9722370260953903,,True
AD-MT,4650,0.9985457557439804,0.963805433511734,0.9644023531675339,0.964103893339634,,True
AD-MT,4750,0.9988871347904206,0.9799182480573654,0.9804549890756608,0.980186618566513,,True
AD-MT,4850,0.9977496778964996,0.9791991811990738,0.9778967303037643,0.9785479557514191,,True
AD-MT,4950,0.9991322410106659,0.9854119920730591,0.9856575280427933,0.9855347600579262,,True
AD-MT,5050,0.998535270690918,0.9860550153255463,0.9847909414768219,0.9854229784011841,,True
AD-MT,5150,0.9987877094745636,0.9845468991994858,0.9854224443435669,0.9849846717715264,,True
AD-MT,5250,0.9990259224176407,0.9867930567264557,0.9888968384265899,0.9878449475765229,,True
AD-MT,5350,0.9990120458602906,0.9745939511060715,0.9760318523645402,0.9753129017353058,,True
AD-MT,5450,0.9990148985385895,0.9689395254850388,0.9670957052707672,0.968017615377903,,True
AD-MT,5550,0.9989851605892182,0.9777682262659073,0.977099923491478,0.9774340748786926,,True
AD-MT,5650,0.997879940867424,0.9864835095405579,0.9866503596305847,0.9865669345855713,,True
AD-MT,5750,0.9990719842910767,0.9897363644838333,0.9905558025836945,0.9901460835337639,,True
AD-MT,5850,0.9993722295761108,0.9899874258041382,0.9898592489957809,0.9899233373999595,,True
AD-MT,5950,0.9991467094421387,0.984631604552269,0.9853109467029572,0.9849712756276131,,True
AD-MT,6050,0.9990463155508041,0.9890985262393951,0.9884151405096054,0.9887568333745003,,True
AD-MT,6150,0.9983375608921051,0.992466950416565,0.9910394740104675,0.9917532122135162,,True
AD-MT,6250,0.99916109085083,0.9892912697792053,0.9902660131454468,0.9897786414623261,,True
AD-MT,6350,0.998974324464798,0.99275710105896,0.9927665638923645,0.9927618324756622,,True
AD-MT,6450,0.9985245567560196,0.9872331964969635,0.9846026521921157,0.9859179243445396,,True
AD-MT,6550,0.9991171199083329,0.9884218716621399,0.9879827040433884,0.9882022878527641,,True
